,VALID LINKS,TITLE NAMES,INTERNAL LINK,EXTERNAL LINK,TOP20 UNI,TOP20 BI,WEB PAGE SIZE (KB)
42,https://www.linkedin.com/feed/hashtag/?keywords=%23AutomationPlatform,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.45
43,https://www.exeterpremedia.com/services/#Data_Services,Exeter - Services,True,False,"['services', 'Services', 'We', 'publishers', 'Design', 'Our', 'content', 'authors', 'books', 'Exeters', 'Adobe', 'XML', 'Artwork', 'Data', 'US', 'illustrations', 'based', 'ensure', 'text']","[('Artwork', 'Design'), ('Project', 'Management'), ('Data', 'Services'), ('Editorial', 'Services'), ('books', 'journals'), ('Design', 'services'), ('page', 'composition'), ('turnaround', 'times'), ('authors', 'publishers'), ('Services', 'Artwork'), ('Services', 'Data'), ('Contact', 'Us'), ('editors', 'proofreaders'), ('Corel', 'Draw'), ('Adobe', 'Illustrator'), ('Photoshop', 'Adobe'), ('Adobe', 'Photoshop'), ('extensive', 'experience'), ('Services', 'We')]",126.92
44,https://www.linkedin.com/company/markup-uk/,N/A,False,True,[],[],0.0
45,https://www.exeterpremedia.com/blog/,Exeter - Blog,True,False,"['More', 'Read', '2019', 'US', '2017', 'The', 'SERVICES', 'Us', 'April', 'February', '26', 'us', 'About', 'India', 'Contact', '2016', '2018', 'August', 'November']","[('Read', 'More'), ('Contact', 'Us'), ('1', '2'), ('26', '2017The'), ('More', '17'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS'), ('ABOUT', 'US'), ('us', 'ABOUT'), ('About', 'us'), ('BLOG', 'About'), ('Resources', 'BLOG'), ('MANAGEMENT', 'Resources'), ('PROJECT', 'MANAGEMENT'), ('DESIGN', 'PROJECT'), ('ARTWORK', 'DESIGN')]",114.12
46,https://www.linkedin.com/in/ravi-venkataramani-8558534/,N/A,False,True,[],[],0.0
47,https://www.exeterpremedia.com/wp-content/uploads/2019/06/the-british-editorial-society-of-bone-joint-surgery.webp,N/A,True,False,['NULL'],['NULL'],11.12
48,https://www.exeterpremedia.com/wp-content/uploads/2019/06/bmj-group.webp,N/A,True,False,['NULL'],['NULL'],3.33
49,https://www.exeterpremedia.com/wp-content/uploads/2019/06/atma-global-inc.webp,N/A,True,False,['NULL'],['NULL'],8.09
50,https://www.exeterpremedia.com/about-us/,Exeter - All about authors and publishers,True,False,"['publishing', 'technology', 'experience', 'We', 'US', 'authors', 'manages', 'content', 'clients', 'us', 'SERVICES', 'publishers', 'Exeter', 'Us', 'product', 'Officer', 'Chief', 'He', 'Venkataramani']","[('Contact', 'Us'), ('many', 'successful'), ('technology', 'innovation'), ('across', 'geographies'), ('Happy', 'Authors'), ('publishing', 'platform'), ('experience', 'authors'), ('fantastic', 'experience'), ('publishing', 'industry'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS'), ('ABOUT', 'US'), ('us', 'ABOUT'), ('About', 'us'), ('BLOG', 'About'), ('Resources', 'BLOG')]",115.18
51,https://www.exeterpremedia.com/why-do-i-need-another-id/,Why do I need another ID? - Exeter,True,False,"['ID', 'another', 'need', 'I', 'US', 'Why', 'researcher', 'people', 'The', 'SERVICES', 'Exeter', 'Us', 'ORCID', 'work', 'names', 'research', 'Blog', 'us', 'About']","[('need', 'another'), ('I', 'need'), ('Why', 'I'), ('another', 'ID'), ('Contact', 'Us'), ('ID', 'uniquely'), ('world', 'ID'), ('Exeter', 'Blog'), ('Ravi', 'Venkataramani'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS'), ('ABOUT', 'US'), ('us', 'ABOUT'), ('About', 'us'), ('BLOG', 'About'), ('Resources', 'BLOG')]",122.96
52,https://www.linkedin.com/in/augustine-k/,N/A,False,True,[],[],0.0
53,https://www.linkedin.com/feed/hashtag/?keywords=%23HappyAuthors,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.41
54,https://www.exeterpremedia.com/wp-content/uploads/2019/06/journal-of-royal-medical-service.webp,N/A,True,False,['NULL'],['NULL'],17.68
55,https://www.exeterpremedia.com/the-death-of-the-pdf/,The Death of the PDF? - Exeter,True,False,"['PDF', 'The', 'It', 'world', 'access', 'final', 'US', 'Death', 'book', 'author', 'publishing', 'format', 'SERVICES', 'Exeter', 'Us', 'I', 'content', 'allows', 'advancements']","[('The', 'Death'), ('Death', 'PDF'), ('Contact', 'Us'), ('get', 'back'), ('access', 'content'), ('It', 'also'), ('reading', 'experience'), ('mobile', 'device'), ('printed', 'book'), ('arrival', 'PDF'), ('Exeter', 'Blog'), ('Ravi', 'Venkataramani'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS'), ('ABOUT', 'US'), ('us', 'ABOUT')]",123.37
